id,type,creation_time,max_size,full,role,property1,property2,property3,property4,property5
4,amoeba_generational,2015-11-30 19:22:48.649925,2400,t,experiment,40,60,False,1,
14,amoeba_generational,2015-11-30 19:22:48.668975,2400,t,experiment,40,60,False,1,
10,amoeba_generational,2015-11-30 19:22:48.661381,2400,t,experiment,40,60,False,2,
6,amoeba_generational,2015-11-30 19:22:48.653727,2400,t,experiment,40,60,False,2,
16,amoeba_generational,2015-11-30 19:22:48.672761,2400,t,experiment,40,60,False,2,
5,amoeba_generational,2015-11-30 19:22:48.651832,2400,t,experiment,40,60,False,2,
8,amoeba_generational,2015-11-30 19:22:48.657591,2400,t,experiment,40,60,False,5,
11,amoeba_generational,2015-11-30 19:22:48.663321,2400,t,experiment,40,60,False,2,
13,amoeba_generational,2015-11-30 19:22:48.66709,2400,t,experiment,40,60,False,5,
12,amoeba_generational,2015-11-30 19:22:48.665205,2400,t,experiment,40,60,False,5,
7,amoeba_generational,2015-11-30 19:22:48.655624,2400,t,experiment,40,60,False,5,
18,amoeba_generational,2015-11-30 19:22:48.676547,2400,t,experiment,40,60,False,5,
9,amoeba_generational,2015-11-30 19:22:48.659487,2400,t,experiment,40,60,False,1,
17,amoeba_generational,2015-11-30 19:22:48.674677,2400,t,experiment,40,60,False,5,
1,amoeba_generational,2015-11-30 19:22:48.643242,2400,t,practice,40,60,False,1,
3,amoeba_generational,2015-11-30 19:22:48.647976,2400,t,practice,40,60,False,5,
2,amoeba_generational,2015-11-30 19:22:48.646033,2400,t,practice,40,60,False,2,
15,amoeba_generational,2015-11-30 19:22:48.670874,2400,t,experiment,40,60,False,2,
