id,assignment_id,creation_time,event_type
1,3QIYRE09Y3HDM3608VOPYYH670JN1S,2015-11-30 19:23:34.79546,AssignmentAccepted
2,3L6L49WXW0XQODXDRDB52FONSZT54X,2015-11-30 19:23:45.24584,AssignmentAccepted
3,3TEM0PF1Q5X4T2U5NI6MOOM2O4BD0X,2015-11-30 19:26:40.830681,AssignmentAccepted
4,3DY4FPOOA1OENDEQ8GPVE6TWX1ERV8,2015-11-30 19:26:41.234281,AssignmentAccepted
5,31QTRG6Q2TDAFUTG0Z8QGAXBE0TPYO,2015-11-30 19:26:41.661571,AssignmentAccepted
6,3JC6VJ2SABJ5Q2DU0ELWFIANK9PA5D,2015-11-30 19:26:42.045888,AssignmentAccepted
7,3COPXFW7XBCFVP4ZWK7Z72I0GLKKPO,2015-11-30 19:26:42.433155,AssignmentAccepted
8,3JBT3HLQF82AKK3LWLA9UH6DKUXPZF,2015-11-30 19:26:42.838068,AssignmentAccepted
9,3N1FSUEFL50LSQC66JTO0RCF5GRD4D,2015-11-30 19:26:43.245812,AssignmentAccepted
10,39DD6S19JPB6NTEVN7UY05796NUZE3,2015-11-30 19:26:43.636139,AssignmentAccepted
11,3LOZAJ85YDDPNI20T5BC1JI91K6X22,2015-11-30 19:26:44.032548,AssignmentAccepted
12,3WYGZ5XF3WFC8HKRO1BT27NB35RKS4,2015-11-30 19:26:44.437896,AssignmentAccepted
13,30BUDKLTXDV8GFU6GJNIB10E5ON5E3,2015-11-30 19:26:44.867777,AssignmentAccepted
14,34PGFRQONOBA4EVIQLLIYHQJUTMJWI,2015-11-30 19:26:45.254113,AssignmentAccepted
15,3Z4AIRP3C6DIYXK4A1BYW0849ESX1L,2015-11-30 19:26:45.636158,AssignmentAccepted
16,30ZX6P7VF8VOSYXBC1WBAAAUQMS2JK,2015-11-30 19:26:46.040162,AssignmentAccepted
17,3J88R45B2GYLFP36V3MOXWQ2CUZPXI,2015-11-30 19:26:46.456998,AssignmentAccepted
18,3EO896NRAWVICXROVGG7BXJKQZ4JTS,2015-11-30 19:26:46.845133,AssignmentAccepted
19,3KIBXJ1WD5UXAPSYHKUKI2DA6GOKO7,2015-11-30 19:26:47.231781,AssignmentAccepted
20,3QL2OFSM96IX96GYOSD9FU0XBXANCI,2015-11-30 19:26:47.634786,AssignmentAccepted
21,3I7DHKZYGN00MTU2BU7OTJLEHP25FL,2015-11-30 19:26:48.022458,AssignmentAccepted
22,3OUYGIZWR7YDIZXVSRXHOI3R2NDP0M,2015-11-30 19:26:48.588887,AssignmentAccepted
23,30BUDKLTXDV8GFU6GJNIB10E5OME5B,2015-11-30 19:26:48.978774,AssignmentAccepted
24,32XVDSJFPZXET63WFY93Q22BUGN2MO,2015-11-30 19:26:49.365827,AssignmentAccepted
25,3TUI152ZZBNYP0JSONG62SCBCB6Q1I,2015-11-30 19:26:49.762864,AssignmentAccepted
26,3JJVG1YBEBXA9CIM6SLSATUT2RA5B3,2015-11-30 19:26:50.1503,AssignmentAccepted
27,3R5F3LQFV2KSZKRKHLXU5H1NAP0OZW,2015-11-30 19:26:50.539427,AssignmentAccepted
28,3TVRFO09GKFVO4O83BTHGFHI7KXLXF,2015-11-30 19:26:50.92977,AssignmentAccepted
29,3UXUOQ9OKEXKD6RDO70TD2OJBFKA7S,2015-11-30 19:26:51.324199,AssignmentAccepted
30,3OVHNO1VE611VN0VRCJEUNPO6BTZDA,2015-11-30 19:26:51.712,AssignmentAccepted
31,3LUY3GC63Z0R0AXFDQIQ3XDEA1K7P5,2015-11-30 19:26:52.101408,AssignmentAccepted
32,3KJYX6QCM9BXPPVD0BGMCF75NKKJV8,2015-11-30 19:26:52.49956,AssignmentAccepted
33,3Z3ZLGNNSIUUZ3X7BRUPQLR8AVKQ3A,2015-11-30 19:26:52.891573,AssignmentAccepted
34,39ZSFO5CA8WXCA6DVL6HGT5M9DBUJU,2015-11-30 19:27:01.473061,AssignmentAccepted
