uniqueid,assignmentid,workerid,hitid,ipaddress,browser,platform,language,cond,counterbalance,codeversion,beginhit,beginexp,endhit,bonus,status,datastring
A2P18KT7WGSZA4:37C0GNLMHF3Z7DGKP7M3XPWT17XD6Y,37C0GNLMHF3Z7DGKP7M3XPWT17XD6Y,A2P18KT7WGSZA4,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-11-30 19:26:48.893811,,,0,103,
A8KDSIY4KBYR4:3AZHRG4CU4K6BAS8UT0ABF0QXRP30S,3AZHRG4CU4K6BAS8UT0ABF0QXRP30S,A8KDSIY4KBYR4,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-11-30 21:11:48.769042,,,0,103,
AENW881YO2H8S:3TUI152ZZBNYP0JSONG62SCBCB6Q1I,3TUI152ZZBNYP0JSONG62SCBCB6Q1I,AENW881YO2H8S,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-11-30 19:26:54.093434,,,0,103,
A1RT9SQ9D9DLOV:3E4GGUZ1T8RJ3I3TUMWNBPA75BS2KJ,3E4GGUZ1T8RJ3I3TUMWNBPA75BS2KJ,A1RT9SQ9D9DLOV,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-11-30 19:26:56.813316,,2015-11-30 19:40:08.02239,0,101,
A38VMTKS30TQZB:3N4BPTXIO8SSNUCVD66TH85ZO2BUKT,3N4BPTXIO8SSNUCVD66TH85ZO2BUKT,A38VMTKS30TQZB,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-11-30 19:26:35.504197,,2015-11-30 19:35:29.855096,0,101,
A1GABEPSX2V15F:3TEM0PF1Q5X4T2U5NI6MOOM2O4BD0X,3TEM0PF1Q5X4T2U5NI6MOOM2O4BD0X,A1GABEPSX2V15F,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-11-30 19:26:55.434176,,2015-11-30 19:38:06.930679,0,101,
AFDC9A6Z60W2Z:3OVHNO1VE611VN0VRCJEUNPO6BTZDA,3OVHNO1VE611VN0VRCJEUNPO6BTZDA,AFDC9A6Z60W2Z,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-11-30 19:26:50.42891,,2015-11-30 19:38:06.354828,0,101,
A2270E5SCIHWV8:3YOH7BII097S091VIWGYDU7I29LKV9,3YOH7BII097S091VIWGYDU7I29LKV9,A2270E5SCIHWV8,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-11-30 19:26:50.623189,,2015-11-30 19:37:25.930553,0,101,
A2KW26KE43UBRS:3R9WASFE2ZGYT7ERIIE4INS9IO9ZFL,3R9WASFE2ZGYT7ERIIE4INS9IO9ZFL,A2KW26KE43UBRS,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-11-30 19:26:54.11589,,2015-11-30 19:37:16.066405,0,101,
A2XHA2AGMU4SBF:3SNLUL3WO4N370UDY6IUW8IED2GULW,3SNLUL3WO4N370UDY6IUW8IED2GULW,A2XHA2AGMU4SBF,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-11-30 19:26:47.489458,,2015-11-30 19:37:35.422374,0,101,
A12U7YNO0GKNKZ:3N1FSUEFL50LSQC66JTO0RCF5GRD4D,3N1FSUEFL50LSQC66JTO0RCF5GRD4D,A12U7YNO0GKNKZ,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-11-30 19:27:21.507267,,2015-11-30 19:37:31.69408,0,101,
A1VJAEPNA6YARO:3KIBXJ1WD5UXAPSYHKUKI2DA6GOKO7,3KIBXJ1WD5UXAPSYHKUKI2DA6GOKO7,A1VJAEPNA6YARO,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-11-30 19:26:56.648443,,2015-11-30 19:35:19.392825,0,101,
A1FV7GRQF2O7LY:3QUO65DNQUOBDLXABYYMOPM887LUOD,3QUO65DNQUOBDLXABYYMOPM887LUOD,A1FV7GRQF2O7LY,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-11-30 19:26:53.05738,,2015-11-30 19:38:11.307266,0,101,
A3IW9415ZOO0EX:3DY4FPOOA1OENDEQ8GPVE6TWX1ERV8,3DY4FPOOA1OENDEQ8GPVE6TWX1ERV8,A3IW9415ZOO0EX,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-11-30 19:26:47.464564,,2015-11-30 19:38:45.831097,0,101,
A2R794P3E8X0MK:3OUYGIZWR7YDIZXVSRXHOI3R2NDP0M,3OUYGIZWR7YDIZXVSRXHOI3R2NDP0M,A2R794P3E8X0MK,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-11-30 19:26:45.130617,,2015-11-30 19:37:44.85859,0,101,
AS8BGRD5QFUTQ:3TYCR1GOTCJKTZON4TH2D0XTFKVLZC,3TYCR1GOTCJKTZON4TH2D0XTFKVLZC,AS8BGRD5QFUTQ,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-11-30 19:26:46.816949,,2015-11-30 19:36:49.860902,0,101,
A1BNR1ZAF1QGWG:3TVRFO09GKFVO4O83BTHGFHI7KXLXF,3TVRFO09GKFVO4O83BTHGFHI7KXLXF,A1BNR1ZAF1QGWG,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-11-30 19:27:35.358477,,2015-11-30 19:36:18.458104,0,101,
A1AEKMIKKEBZLZ:30OG32W0SUBC640CKJJ45I00W9NNEB,30OG32W0SUBC640CKJJ45I00W9NNEB,A1AEKMIKKEBZLZ,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-11-30 19:26:52.071705,,2015-11-30 19:38:38.866487,0,102,
AW5FP8MFB3F7X:3LOZAJ85YDDPNI20T5BC1JI91K6X22,3LOZAJ85YDDPNI20T5BC1JI91K6X22,AW5FP8MFB3F7X,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-11-30 19:26:53.984272,,2015-11-30 19:39:50.623502,0,101,
A3527QDVIOHI8E:3N4BPTXIO8SSNUCVD66TH85ZO2CKUK,3N4BPTXIO8SSNUCVD66TH85ZO2CKUK,A3527QDVIOHI8E,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-11-30 19:26:52.306709,,2015-11-30 19:39:15.548159,0,102,
A1ZF2GZ2ZRV8OY:3L6L49WXW0XQODXDRDB52FONSZT54X,3L6L49WXW0XQODXDRDB52FONSZT54X,A1ZF2GZ2ZRV8OY,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-11-30 19:27:00.851642,,2015-11-30 19:40:38.361728,0,101,
A4ZW4GNQ98HV6:3WEV0KO0OMS4UBEHWKP6YUSLJWUSDZ,3WEV0KO0OMS4UBEHWKP6YUSLJWUSDZ,A4ZW4GNQ98HV6,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-11-30 19:26:45.804634,,2015-11-30 19:35:49.931795,0,101,
A2TD6LB9994K72:3QL2OFSM96IX96GYOSD9FU0XBXANCI,3QL2OFSM96IX96GYOSD9FU0XBXANCI,A2TD6LB9994K72,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-11-30 19:26:47.305014,,2015-11-30 19:38:08.9634,0,101,
A2KHV2D09JAWPC:3ITXP059PWJHXXE96GBH1SNYOGQJS3,3ITXP059PWJHXXE96GBH1SNYOGQJS3,A2KHV2D09JAWPC,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-11-30 19:26:53.94001,,2015-11-30 19:39:16.187383,0,101,
A3QY5DKE908JP1:3FFJ6VRIL1OL1DARFW7XFL2FG9JI04,3FFJ6VRIL1OL1DARFW7XFL2FG9JI04,A3QY5DKE908JP1,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-11-30 19:26:47.67173,,2015-11-30 19:39:17.311489,0,101,
A3NAHN61XJ3ZAT:3HWRJOOET529MHSHSF0Q4CA6J8VSES,3HWRJOOET529MHSHSF0Q4CA6J8VSES,A3NAHN61XJ3ZAT,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-11-30 19:26:58.205887,,2015-11-30 19:42:03.90287,0,101,
A1FOTRH3UJMKTS:32XVDSJFPZXET63WFY93Q22BUGN2MO,32XVDSJFPZXET63WFY93Q22BUGN2MO,A1FOTRH3UJMKTS,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-11-30 19:27:08.993241,,2015-11-30 19:41:52.59291,0,101,
A1T29BTOVBSEA6:3Z4AIRP3C6DIYXK4A1BYW0849ESX1L,3Z4AIRP3C6DIYXK4A1BYW0849ESX1L,A1T29BTOVBSEA6,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-11-30 19:30:22.650191,,2015-11-30 19:42:09.416738,0,102,
AKNYT1NTK2UFK:3SUWZRL0MYD4ZJUKL2XN37EE1JXE6R,3SUWZRL0MYD4ZJUKL2XN37EE1JXE6R,AKNYT1NTK2UFK,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-11-30 19:29:04.467269,,2015-11-30 19:41:29.458584,0,101,
AAJ1ZQECDZBEE:3COPXFW7XBCFVP4ZWK7Z72I0GLKKPO,3COPXFW7XBCFVP4ZWK7Z72I0GLKKPO,AAJ1ZQECDZBEE,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-11-30 19:27:12.880553,,2015-11-30 19:43:47.783201,0,101,
A1945USNZHTROX:31QTRG6Q2TDAFUTG0Z8QGAXBE0TPYO,31QTRG6Q2TDAFUTG0Z8QGAXBE0TPYO,A1945USNZHTROX,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-11-30 19:30:17.446915,,2015-11-30 19:44:10.660836,0,101,
A36O6HV8LCXLJR:3C2NJ6JBKAHKBOOWRZO33HRBZ6X2NO,3C2NJ6JBKAHKBOOWRZO33HRBZ6X2NO,A36O6HV8LCXLJR,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-11-30 19:27:38.761238,,2015-11-30 19:43:29.400185,0,102,
A1GLF2427E02YG:3JJVG1YBEBXA9CIM6SLSATUT2RA5B3,3JJVG1YBEBXA9CIM6SLSATUT2RA5B3,A1GLF2427E02YG,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-11-30 19:29:20.748115,,2015-11-30 19:42:53.506518,0,101,
A21EY5PH7LGZX9:34PGFRQONOBA4EVIQLLIYHQJUTMJWI,34PGFRQONOBA4EVIQLLIYHQJUTMJWI,A21EY5PH7LGZX9,3WKGUBL7SZM13I24TXMAUKPXBLAL4P,,,,,,,1.0,2015-11-30 19:27:53.497382,,2015-11-30 19:43:29.229818,0,102,
