type,id,info_in_id,info_out_id,node_id,network_id,creation_time,failed,time_of_death,property1,property2,property3,property4,property5
replication,1,19,20,37,1,2015-11-30 19:27:16.048261,f,,,,,,
replication,2,21,22,38,1,2015-11-30 19:27:18.557114,f,,,,,,
replication,3,23,24,39,1,2015-11-30 19:27:19.030465,f,,,,,,
replication,4,25,26,40,1,2015-11-30 19:27:25.513866,f,,,,,,
replication,5,38,40,41,2,2015-11-30 19:27:39.252158,f,,,,,,
replication,6,43,44,42,1,2015-11-30 19:27:39.818455,f,,,,,,
replication,7,49,50,43,1,2015-11-30 19:27:41.529685,f,,,,,,
replication,8,53,54,44,2,2015-11-30 19:27:42.6553,f,,,,,,
replication,9,61,62,45,2,2015-11-30 19:27:45.236393,f,,,,,,
replication,10,64,65,46,1,2015-11-30 19:27:46.966668,f,,,,,,
replication,11,67,68,47,1,2015-11-30 19:27:47.585823,f,,,,,,
replication,12,69,70,48,1,2015-11-30 19:27:47.774614,f,,,,,,
replication,13,71,72,49,1,2015-11-30 19:27:47.848586,f,,,,,,
replication,15,79,80,51,2,2015-11-30 19:27:50.43014,f,,,,,,
replication,16,81,82,52,1,2015-11-30 19:27:54.194154,f,,,,,,
replication,17,102,103,53,2,2015-11-30 19:28:04.5562,f,,,,,,
replication,18,106,107,54,1,2015-11-30 19:28:05.682763,f,,,,,,
replication,19,113,114,55,2,2015-11-30 19:28:07.097309,f,,,,,,
replication,21,124,125,57,1,2015-11-30 19:28:09.48847,f,,,,,,
replication,22,127,128,58,1,2015-11-30 19:28:09.595157,f,,,,,,
replication,23,136,137,59,3,2015-11-30 19:28:11.006811,f,,,,,,
replication,24,138,140,60,1,2015-11-30 19:28:11.24052,f,,,,,,
replication,25,152,153,61,3,2015-11-30 19:28:13.260088,f,,,,,,
replication,26,165,166,62,2,2015-11-30 19:28:15.208262,f,,,,,,
replication,28,169,170,64,3,2015-11-30 19:28:15.792726,f,,,,,,
replication,29,173,174,65,1,2015-11-30 19:28:18.227583,f,,,,,,
replication,30,181,182,66,2,2015-11-30 19:28:20.536017,f,,,,,,
replication,31,187,188,67,1,2015-11-30 19:28:22.779378,f,,,,,,
replication,32,198,199,68,2,2015-11-30 19:28:25.653965,f,,,,,,
replication,33,206,207,69,1,2015-11-30 19:28:27.152173,f,,,,,,
replication,34,211,212,70,2,2015-11-30 19:28:27.735265,f,,,,,,
replication,35,213,215,71,1,2015-11-30 19:28:28.077468,f,,,,,,
replication,36,228,229,72,3,2015-11-30 19:28:30.492665,f,,,,,,
replication,37,233,234,73,3,2015-11-30 19:28:30.911144,f,,,,,,
replication,38,248,249,74,1,2015-11-30 19:28:33.29641,f,,,,,,
replication,39,274,275,75,8,2015-11-30 19:28:37.177482,f,,,,,,
replication,40,276,277,76,2,2015-11-30 19:28:37.217377,f,,,,,,
replication,41,278,279,77,2,2015-11-30 19:28:37.348548,f,,,,,,
replication,42,285,286,78,13,2015-11-30 19:28:38.158848,f,,,,,,
replication,43,302,303,79,2,2015-11-30 19:28:41.760421,f,,,,,,
replication,44,305,306,80,6,2015-11-30 19:28:42.087297,f,,,,,,
replication,45,313,314,81,2,2015-11-30 19:28:43.286004,f,,,,,,
replication,46,317,318,82,3,2015-11-30 19:28:43.894684,f,,,,,,
replication,47,322,323,83,3,2015-11-30 19:28:44.562132,f,,,,,,
replication,48,339,340,84,1,2015-11-30 19:28:47.018816,f,,,,,,
replication,50,360,361,86,2,2015-11-30 19:28:48.966851,f,,,,,,
replication,51,366,367,87,2,2015-11-30 19:28:49.471251,f,,,,,,
replication,52,389,391,88,2,2015-11-30 19:28:52.232819,f,,,,,,
replication,53,399,401,89,13,2015-11-30 19:28:53.252813,f,,,,,,
replication,55,412,414,91,6,2015-11-30 19:28:54.72948,f,,,,,,
replication,56,420,421,92,2,2015-11-30 19:28:55.553328,f,,,,,,
replication,57,423,424,93,2,2015-11-30 19:28:55.706279,f,,,,,,
replication,58,427,428,94,3,2015-11-30 19:28:56.069414,f,,,,,,
replication,59,429,430,95,3,2015-11-30 19:28:56.108894,f,,,,,,
replication,60,451,452,96,3,2015-11-30 19:28:59.84182,f,,,,,,
replication,61,465,466,97,2,2015-11-30 19:29:02.266373,f,,,,,,
replication,63,476,477,99,17,2015-11-30 19:29:03.266438,f,,,,,,
replication,64,479,480,100,1,2015-11-30 19:29:03.899101,f,,,,,,
replication,65,486,487,101,18,2015-11-30 19:29:04.820687,f,,,,,,
replication,66,504,505,102,3,2015-11-30 19:29:07.694372,f,,,,,,
replication,67,525,526,103,3,2015-11-30 19:29:10.115793,f,,,,,,
replication,69,536,537,105,3,2015-11-30 19:29:11.638308,f,,,,,,
replication,70,551,552,106,12,2015-11-30 19:29:13.527133,f,,,,,,
replication,71,564,567,107,18,2015-11-30 19:29:15.288467,f,,,,,,
replication,72,572,574,108,2,2015-11-30 19:29:15.602594,f,,,,,,
replication,73,575,576,109,5,2015-11-30 19:29:15.695472,f,,,,,,
replication,75,597,599,111,3,2015-11-30 19:29:17.859311,f,,,,,,
replication,76,602,603,112,3,2015-11-30 19:29:18.089763,f,,,,,,
replication,77,608,609,113,3,2015-11-30 19:29:18.532173,f,,,,,,
replication,78,612,613,114,12,2015-11-30 19:29:19.071771,f,,,,,,
replication,79,617,618,115,3,2015-11-30 19:29:19.414125,f,,,,,,
replication,80,622,623,116,3,2015-11-30 19:29:20.175855,f,,,,,,
replication,81,649,650,117,14,2015-11-30 19:29:24.565282,f,,,,,,
replication,82,662,663,118,18,2015-11-30 19:29:26.27663,f,,,,,,
replication,84,679,681,120,12,2015-11-30 19:29:28.224841,f,,,,,,
replication,85,680,682,121,12,2015-11-30 19:29:28.234312,f,,,,,,
replication,87,699,701,123,3,2015-11-30 19:29:30.756725,f,,,,,,
replication,88,708,710,124,8,2015-11-30 19:29:32.250752,f,,,,,,
replication,89,727,728,125,10,2015-11-30 19:29:35.181472,f,,,,,,
replication,90,729,730,126,1,2015-11-30 19:29:35.337437,f,,,,,,
replication,91,735,737,127,18,2015-11-30 19:29:35.863402,f,,,,,,
replication,93,763,764,129,3,2015-11-30 19:29:37.976954,f,,,,,,
replication,94,765,766,130,6,2015-11-30 19:29:38.055437,f,,,,,,
replication,95,785,786,131,17,2015-11-30 19:29:40.865033,f,,,,,,
replication,96,794,795,132,17,2015-11-30 19:29:41.892212,f,,,,,,
replication,97,810,811,133,17,2015-11-30 19:29:43.821425,f,,,,,,
replication,20,115,116,56,1,2015-11-30 19:28:07.219186,t,2015-11-30 19:39:38.08674,,,,,
replication,14,76,77,50,1,2015-11-30 19:27:49.666817,t,2015-11-30 19:39:42.112841,,,,,
replication,27,167,168,63,2,2015-11-30 19:28:15.49846,t,2015-11-30 19:39:42.162476,,,,,
replication,54,403,404,90,3,2015-11-30 19:28:53.418207,t,2015-11-30 19:39:42.200378,,,,,
replication,62,469,470,98,1,2015-11-30 19:29:02.63183,t,2015-11-30 19:46:04.133999,,,,,
replication,83,672,674,119,2,2015-11-30 19:29:27.597253,t,2015-11-30 19:46:04.165869,,,,,
replication,98,814,815,134,11,2015-11-30 19:29:44.111223,f,,,,,,
replication,105,875,876,141,4,2015-11-30 19:29:50.982148,f,,,,,,
replication,134,1170,1171,170,4,2015-11-30 19:30:29.160962,f,,,,,,
replication,161,1384,1385,197,12,2015-11-30 19:30:51.038787,f,,,,,,
replication,182,1633,1634,218,15,2015-11-30 19:31:15.2415,f,,,,,,
replication,193,1702,1703,229,12,2015-11-30 19:31:21.716802,f,,,,,,
replication,205,1806,1807,241,16,2015-11-30 19:31:33.685287,f,,,,,,
replication,207,1854,1855,243,5,2015-11-30 19:31:37.68764,f,,,,,,
replication,117,985,987,153,3,2015-11-30 19:30:06.087106,t,2015-11-30 19:33:32.849224,,,,,
replication,99,827,828,135,10,2015-11-30 19:29:45.882489,f,,,,,,
replication,100,831,832,136,3,2015-11-30 19:29:45.989814,f,,,,,,
replication,101,834,835,137,15,2015-11-30 19:29:46.166601,f,,,,,,
replication,103,857,858,139,8,2015-11-30 19:29:49.045214,f,,,,,,
replication,104,872,873,140,11,2015-11-30 19:29:50.701653,f,,,,,,
replication,107,888,889,143,8,2015-11-30 19:29:53.344591,f,,,,,,
replication,109,918,920,145,15,2015-11-30 19:29:58.476676,f,,,,,,
replication,110,940,941,146,7,2015-11-30 19:30:01.091577,f,,,,,,
replication,111,942,943,147,4,2015-11-30 19:30:01.301823,f,,,,,,
replication,112,963,965,148,17,2015-11-30 19:30:04.225463,f,,,,,,
replication,114,971,973,150,1,2015-11-30 19:30:04.690835,f,,,,,,
replication,116,977,979,152,11,2015-11-30 19:30:04.973099,f,,,,,,
replication,119,1011,1012,155,13,2015-11-30 19:30:08.345435,f,,,,,,
replication,121,1023,1024,157,2,2015-11-30 19:30:09.778761,f,,,,,,
replication,140,1228,1230,176,5,2015-11-30 19:30:35.28936,f,,,,,,
replication,141,1232,1234,177,17,2015-11-30 19:30:35.526316,f,,,,,,
replication,143,1253,1254,179,3,2015-11-30 19:30:37.260878,f,,,,,,
replication,149,1294,1295,185,18,2015-11-30 19:30:40.877303,f,,,,,,
replication,154,1326,1327,190,13,2015-11-30 19:30:44.804408,f,,,,,,
replication,156,1339,1340,192,1,2015-11-30 19:30:46.18696,f,,,,,,
replication,157,1345,1347,193,12,2015-11-30 19:30:47.26074,f,,,,,,
replication,165,1412,1414,201,15,2015-11-30 19:30:54.245268,f,,,,,,
replication,166,1431,1433,202,16,2015-11-30 19:30:57.217565,f,,,,,,
replication,169,1470,1471,205,3,2015-11-30 19:31:02.974607,f,,,,,,
replication,170,1488,1489,206,9,2015-11-30 19:31:04.474644,f,,,,,,
replication,176,1579,1582,212,18,2015-11-30 19:31:11.97417,f,,,,,,
replication,177,1588,1590,213,15,2015-11-30 19:31:12.560444,f,,,,,,
replication,180,1621,1622,216,5,2015-11-30 19:31:14.439646,f,,,,,,
replication,184,1649,1650,220,10,2015-11-30 19:31:16.267014,f,,,,,,
replication,187,1662,1663,223,4,2015-11-30 19:31:17.281101,f,,,,,,
replication,188,1681,1682,224,14,2015-11-30 19:31:19.956829,f,,,,,,
replication,190,1686,1687,226,4,2015-11-30 19:31:20.149044,f,,,,,,
replication,192,1697,1700,228,3,2015-11-30 19:31:21.45671,f,,,,,,
replication,200,1756,1757,236,14,2015-11-30 19:31:28.561192,f,,,,,,
replication,203,1792,1793,239,4,2015-11-30 19:31:32.787128,f,,,,,,
replication,206,1814,1815,242,1,2015-11-30 19:31:34.330222,f,,,,,,
replication,211,1892,1893,247,3,2015-11-30 19:31:40.035153,f,,,,,,
replication,145,1267,1269,181,15,2015-11-30 19:30:38.452745,t,2015-11-30 19:33:32.818076,,,,,
replication,174,1544,1546,210,13,2015-11-30 19:31:09.706438,t,2015-11-30 19:33:32.879528,,,,,
replication,102,852,853,138,14,2015-11-30 19:29:48.670334,t,2015-11-30 19:39:38.182279,,,,,
replication,135,1177,1178,171,9,2015-11-30 19:30:29.66486,t,2015-11-30 19:39:38.213511,,,,,
